"District","County","Country","District Code","County Code"
"Huntingdonshire","Cambridgeshire","England","E07000011","E10000003"
"King's Lynn and West Norfolk","Norfolk","England","E07000146","E10000020"
"Fenland","Cambridgeshire","England","E07000010","E10000003"
"West Suffolk","Suffolk","England","E07000245","E10000029"
"Braintree","Essex","England","E07000067","E10000012"
"Cardiff","South Glamorgan","Wales","W06000015","W11000007"
"Rhondda Cynon Taf","Mid Glamorgan","Wales","W06000016","W11000005"
"Vale of Glamorgan","South Glamorgan","Wales","W06000014","W11000007"
"Caerphilly","Gwent","Wales","W06000018","W11000003"
"Newport","Gwent","Wales","W06000022","W11000003"
"Bridgend","Mid Glamorgan","Wales","W06000013","W11000005"
"Neath Port Talbot","West Glamorgan","Wales","W06000012","W11000008"
"Merthyr Tydfil","Mid Glamorgan","Wales","W06000024","W11000005"
"Powys","Powys","Wales","W06000023","W11000006"
"Cheshire West and Chester","Cheshire","England","E06000050","E11000004"
"Flintshire","Clwyd","Wales","W06000005","W11000001"
"Wirral","Merseyside","England","E08000015","E11000013"
"Cheshire East","Cheshire","England","E06000049","E11000004"
"Denbighshire","Clwyd","Wales","W06000004","W11000001"
"Maldon","Essex","England","E07000074","E10000012"
"Chelmsford","Essex","England","E07000070","E10000012"
"Epping Forest","Essex","England","E07000072","E10000012"
"Basildon","Essex","England","E07000066","E10000012"
"Brentwood","Essex","England","E07000068","E10000012"
"Thurrock","Essex","England","E06000034","E10000012"
"Havering","Greater London","England","E09000016","E11000009"
"Harlow","Essex","England","E07000073","E10000012"
"Camden","Greater London","England","E09000007","E11000009"
"Colchester","Essex","England","E07000071","E10000012"
"Tendring","Essex","England","E07000076","E10000012"
"Babergh","Suffolk","England","E07000200","E10000029"
"Sutton","Greater London","England","E09000029","E11000009"
"Tandridge","Surrey","England","E07000215","E10000030"
"Reigate and Banstead","Surrey","England","E07000211","E10000030"
"Merton","Greater London","England","E09000024","E11000009"
"Canterbury","Kent","England","E07000106","E10000016"
"Thanet","Kent","England","E07000114","E10000016"
"Dover","Kent","England","E07000108","E10000016"
"Folkestone and Hythe","Kent","England","E07000112","E10000016"
"Swale","Kent","England","E07000113","E10000016"
"Ashford","Kent","England","E07000105","E10000016"
"Coventry","West Midlands","England","E08000026","E11000018"
"Nuneaton and Bedworth","Warwickshire","England","E07000219","E10000031"
"Hinckley and Bosworth","Leicestershire","England","E07000132","E10000018"
"Rugby","Warwickshire","England","E07000220","E10000031"
"West Northamptonshire","Northamptonshire","England","E06000062","E10000021"
"Staffordshire Moorlands","Staffordshire","England","E07000198","E10000028"
"Newcastle-under-Lyme","Staffordshire","England","E07000195","E10000028"
"Shropshire","Shropshire","England","E06000051","E11000015"
"Bexley","Greater London","England","E09000004","E11000009"
"Gravesham","Kent","England","E07000109","E10000016"
"Tonbridge and Malling","Kent","England","E07000115","E10000016"
"Dundee City","","Scotland","S12000042","S99999999"
"Perth and Kinross","","Scotland","S12000048","S99999999"
"Fife","","Scotland","S12000047","S99999999"
"Derby","Derbyshire","England","E06000015","E10000007"
"East Staffordshire","Staffordshire","England","E07000193","E10000028"
"South Derbyshire","Derbyshire","England","E07000039","E10000007"
"Bolsover","Derbyshire","England","E07000033","E10000007"
"Erewash","Derbyshire","England","E07000036","E10000007"
"Amber Valley","Derbyshire","England","E07000032","E10000007"
"Derbyshire Dales","Derbyshire","England","E07000035","E10000007"
"North East Derbyshire","Derbyshire","England","E07000038","E10000007"
"Ashfield","Nottinghamshire","England","E07000170","E10000024"
"Rushcliffe","Nottinghamshire","England","E07000176","E10000024"
"Broxtowe","Nottinghamshire","England","E07000172","E10000024"
"South Lanarkshire","","Scotland","S12000029","S99999999"
"Scottish Borders","","Scotland","S12000026","S99999999"
"South Ayrshire","","Scotland","S12000028","S99999999"
"County Durham","County Durham","England","E06000047","E11000007"
"Gateshead","Tyne and Wear","England","E08000037","E11000017"
"Sunderland","Tyne and Wear","England","E08000024","E11000017"
"Darlington","County Durham","England","E06000005","E11000007"
"Richmondshire","North Yorkshire","England","E07000166","E10000023"
"Hambleton","North Yorkshire","England","E07000164","E10000023"
"Stockton-on-Tees","County Durham","England","E06000004","E11000007"
"Ryedale","North Yorkshire","England","E07000167","E10000023"
"Doncaster","South Yorkshire","England","E08000017","E11000016"
"North Lincolnshire","Lincolnshire","England","E06000013","E10000019"
"Bassetlaw","Nottinghamshire","England","E07000171","E10000024"
"Rotherham","South Yorkshire","England","E08000018","E11000016"
"East Riding of Yorkshire","East Riding of Yorkshire","England","E06000011","E11000008"
"Selby","North Yorkshire","England","E07000169","E10000023"
"West Lindsey","Lincolnshire","England","E07000142","E10000019"
"North East Lincolnshire","Lincolnshire","England","E06000012","E10000019"
"East Lindsey","Lincolnshire","England","E07000137","E10000019"
"Barnsley","South Yorkshire","England","E08000016","E11000016"
"East Devon","Devon","England","E07000040","E10000008"
"Wyre Forest","Worcestershire","England","E07000239","E10000034"
"South Staffordshire","Staffordshire","England","E07000196","E10000028"
"Malvern Hills","Worcestershire","England","E07000235","E10000034"
"Wolverhampton","West Midlands","England","E08000031","E11000018"
"Tower Hamlets","Greater London","England","E09000030","E11000009"
"City of London","City of London","England","E09000001","E11000005"
"Hackney","Greater London","England","E09000012","E11000009"
"Waltham Forest","Greater London","England","E09000031","E11000009"
"Redbridge","Greater London","England","E09000026","E11000009"
"Newham","Greater London","England","E09000025","E11000009"
"Enfield","Greater London","England","E09000010","E11000009"
"Islington","Greater London","England","E09000019","E11000009"
"Westminster","Greater London","England","E09000033","E11000009"
"City of Edinburgh","","Scotland","S12000036","S99999999"
"Midlothian","","Scotland","S12000019","S99999999"
"West Lothian","","Scotland","S12000040","S99999999"
"East Lothian","","Scotland","S12000010","S99999999"
"North Lanarkshire","","Scotland","S12000050","S99999999"
"Falkirk","","Scotland","S12000014","S99999999"
"Broxbourne","Hertfordshire","England","E07000095","E10000015"
"Barnet","Greater London","England","E09000003","E11000009"
"Exeter","Devon","England","E07000041","E10000008"
"Mid Devon","Devon","England","E07000042","E10000008"
"Somerset West and Taunton","Somerset","England","E07000246","E10000027"
"North Devon","Devon","England","E07000043","E10000008"
"West Devon","Devon","England","E07000047","E10000008"
"Torridge","Devon","England","E07000046","E10000008"
"Teignbridge","Devon","England","E07000045","E10000008"
"Cornwall","Cornwall","England","E06000052","E11000006"
"Clackmannanshire","","Scotland","S12000005","S99999999"
"Stirling","","Scotland","S12000030","S99999999"
"Argyll and Bute","","Scotland","S12000035","S99999999"
"Fylde","Lancashire","England","E07000119","E10000017"
"Blackpool","Lancashire","England","E06000009","E10000017"
"Wyre","Lancashire","England","E07000128","E10000017"
"Glasgow City","","Scotland","S12000049","S99999999"
"West Dunbartonshire","","Scotland","S12000039","S99999999"
"East Dunbartonshire","","Scotland","S12000045","S99999999"
"East Renfrewshire","","Scotland","S12000011","S99999999"
"Renfrewshire","","Scotland","S12000038","S99999999"
"East Ayrshire","","Scotland","S12000008","S99999999"
"North Ayrshire","","Scotland","S12000021","S99999999"
"Gloucester","Gloucestershire","England","E07000081","E10000013"
"Stroud","Gloucestershire","England","E07000082","E10000013"
"Cotswold","Gloucestershire","England","E07000079","E10000013"
"Forest of Dean","Gloucestershire","England","E07000080","E10000013"
"Monmouthshire","Gwent","Wales","W06000021","W11000003"
"Herefordshire, County of","Herefordshire","England","E06000019","E11000011"
"Tewkesbury","Gloucestershire","England","E07000083","E10000013"
"Cheltenham","Gloucestershire","England","E07000078","E10000013"
"West Oxfordshire","Oxfordshire","England","E07000181","E10000025"
"Vale of White Horse","Oxfordshire","England","E07000180","E10000025"
"Guildford","Surrey","England","E07000209","E10000030"
"Waverley","Surrey","England","E07000216","E10000030"
"East Hampshire","Hampshire","England","E07000085","E10000014"
"Hart","Hampshire","England","E07000089","E10000014"
"Rushmoor","Hampshire","England","E07000092","E10000014"
"Surrey Heath","Surrey","England","E07000214","E10000030"
"Bracknell Forest","Berkshire","England","E06000036","E11000002"
"Woking","Surrey","England","E07000217","E10000030"
"Runnymede","Surrey","England","E07000212","E10000030"
"Winchester","Hampshire","England","E07000094","E10000014"
"Basingstoke and Deane","Hampshire","England","E07000084","E10000014"
"Brent","Greater London","England","E09000005","E11000009"
"Ealing","Greater London","England","E09000009","E11000009"
"Harrow","Greater London","England","E09000015","E11000009"
"Hillingdon","Greater London","England","E09000017","E11000009"
"Three Rivers","Hertfordshire","England","E07000102","E10000015"
"Buckinghamshire","Buckinghamshire","England","E06000060","E10000002"
"South Oxfordshire","Oxfordshire","England","E07000179","E10000025"
"Cherwell","Oxfordshire","England","E07000177","E10000025"
"Luton","Bedfordshire","England","E06000032","E11000001"
"Na h-Eileanan Siar","","Scotland","S12000013","S99999999"
"Kingston upon Hull, City of","East Riding of Yorkshire","England","E06000010","E11000008"
"Barking and Dagenham","Greater London","England","E09000002","E11000009"
"Ipswich","Suffolk","England","E07000202","E10000029"
"Mid Suffolk","Suffolk","England","E07000203","E10000029"
"East Suffolk","Suffolk","England","E07000244","E10000029"
